FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE
995,Julia,,A,NORTH AMERICA,United States,26,-92,C,Offshore,2007,Oil,Giant,1000,1000,5097,Gulf Cenozoic OCS,BS000000271,WEST GULF COAST TERTIARY,TYPE 1,UNKNOWN,,Unknown,,,,,,Unknown,
996,Pazflor,,F,AFRICA,Angola,-8.828139,11.86126,C,Offshore,2008,Oil,Giant,590,590,7203,West-central Coastal,BS000000048,KWANZA,TYPE 1,UNKNOWN,,Unknown,,,,,,Unknown,
1,West Qurna,,E,MIDDLE EAST,Iraq,31.1,47.266667,B,Onshore,1973,Oil,Supergiant,11374.167,4204.653,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,CARBONATE,marly limestones,Mesozoic,Cretaceous,Lower Cretaceous,,12139,3.7,Structural,Anticline
2,Bassein,,G,ASIA AND OCEANIA,India,19.166667,72.1,B,Offshore,1977,Gas,Giant,1362.613,560.556,8043,Bombay,BS000000028,MUMBAI - SAURASHTRA,TYPE 2,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,6000,1.83,Structural,Anticline
3,Karanj,,E,MIDDLE EAST,Iran,30.99227,49.87899,B,Onshore,1963,Gas,Supergiant,6513.94,1881.263,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,5492,1.67,Structural,Anticline
4,Rag-E-Safid,,E,MIDDLE EAST,Iran,30.389358,49.861275,A,Onshore,1964,Gas,Supergiant,14980.602,4429.4,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,4400,1.34,Structural,Anticline
5,Pazanan,,E,MIDDLE EAST,Iran,30.56692,50.01747,B,Onshore,1936,Gas,Supergiant,6657.933,1095.06,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,dolomitic limestone,Cenozoic,Paleogene,Oligocene,,4701,1.43,Structural,Anticline
6,Mansuriyah,,E,MIDDLE EAST,Iraq,34.083333,44.916667,B,Onshore,1978,Gas,Giant,600,253.726,2024,Mesopotamian Foredeep Basin,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,4003,1.22,Structural,Anticline
7,Saradjeh,Serajeh,E,MIDDLE EAST,Iran,35,51.5,B,Onshore,1958,Gas,Giant,833.333,214.715,2091,Central Iranian Basins,BS000000018,CENTRAL IRAN - KAVIR,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,12180,3.71,Structural,Anticline
8,Paris,Faris,E,MIDDLE EAST,Iran,31,49.933333,B,Onshore,1964,Gas,Giant,3825,1130.96,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Cenozoic,Paleogene,Oligocene,,5000,1.52,Structural,Anticline
9,Serrablo,,C,WESTERN EUROPE,Spain,42.583333,0.4,B,Onshore,1979,Gas,Giant,583.333,253.658,4044,Pyrenean Foothills-Ebro Basin,BS000000743,SOUTH PYRENEAN,TYPE 2,CARBONATE,carbonate turbidite megabreccias,Cenozoic,Paleogene,Eocene,,6500,1.98,Structural,Anticline
10,Sui,,G,ASIA AND OCEANIA,Pakistan,28.65,69.2,B,Onshore,1952,Gas,Giant,1872.687,423.62,8025,Sulaiman-Kirthar,BS000000036,SULAIMAN FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,3675,1.12,Structural,Anticline
11,Uch,,G,ASIA AND OCEANIA,Pakistan,28.641667,68.620833,B,Onshore,1955,Gas,Giant,675,162.821,8025,Sulaiman-Kirthar,BS000000036,SULAIMAN FOLDBELT,TYPE 2,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,3281,1,Structural,Anticline
12,Bagadzhin,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,39.333333,62.483333,B,Onshore,1971,Gas,Giant,1583.333,555.876,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,10100,3.08,Structural,Anticline
13,Kirpichlin,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,40.0247,61.051925,A,Onshore,1972,Gas,Giant,1431.667,515.685,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,9900,3.02,Structural,Anticline
14,Mokhtar,,E,MIDDLE EAST,Iran,30.583333,51.5,B,Onshore,1992,Gas,Giant,657.5,425.608,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,CARBONATE,,Mesozoic,Cretaceous,,,5003,1.53,Structural,Anticline
